accuracy,precision,recall,f1,roc_auc,pr_auc,platform,seed,variant
0.8134130146082338,0.528,0.6556291390728477,0.5849335302806499,0.8532128005984467,0.6190873073062634,Facebook,42,data_driven_homophily+node2vec64_minus_centrality
0.8081009296148738,0.5155875299760192,0.7119205298013245,0.5980528511821975,0.8529817825790411,0.6012168643010105,Facebook,42,data_driven_homophily+node2vec64_minus_node2vec
0.8320053120849934,0.5604938271604938,0.7516556291390728,0.6421499292786421,0.8846340014521132,0.6704097128197287,Facebook,123,data_driven_homophily+node2vec64_minus_centrality
0.8047808764940239,0.5089686098654709,0.7516556291390728,0.606951871657754,0.8736358935997008,0.6573524101803819,Facebook,123,data_driven_homophily+node2vec64_minus_node2vec
0.8167330677290837,0.533678756476684,0.6821192052980133,0.5988372093023255,0.8651047281687971,0.656429761520168,Facebook,2024,data_driven_homophily+node2vec64_minus_centrality
0.800132802124834,0.5011494252873563,0.7218543046357616,0.5915875169606513,0.8666448482981672,0.6538680402054876,Facebook,2024,data_driven_homophily+node2vec64_minus_node2vec
0.8193891102257637,0.5394736842105263,0.6788079470198676,0.6011730205278593,0.8675056654419044,0.6363745414160775,Facebook,7,data_driven_homophily+node2vec64_minus_centrality
0.8074369189907038,0.5147783251231527,0.6920529801324503,0.5903954802259888,0.8576186442542518,0.6181847516375789,Facebook,7,data_driven_homophily+node2vec64_minus_node2vec
0.8120849933598937,0.5249343832020997,0.6622516556291391,0.5856515373352855,0.8517551869045786,0.6027245507548049,Facebook,99,data_driven_homophily+node2vec64_minus_centrality
0.7908366533864541,0.4850574712643678,0.6986754966887417,0.5725915875169606,0.8469698136454644,0.6032013131686013,Facebook,99,data_driven_homophily+node2vec64_minus_node2vec
