,accuracy,accuracy,precision,precision,recall,recall,f1,f1,pr_auc,pr_auc,roc_auc,roc_auc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
variant,,,,,,,,,,,,
data_driven_homophily,0.8038,0.0029,0.5071,0.0047,0.7628,0.0168,0.6092,0.0087,0.6455,0.012,0.8735,0.0048
data_driven_homophily+node2vec64,0.8047,0.0041,0.509,0.007,0.7429,0.0117,0.604,0.0082,0.6412,0.0126,0.8719,0.0057
no_graph,0.7941,0.0032,0.4916,0.0052,0.7823,0.0168,0.6038,0.0088,0.6508,0.0119,0.8755,0.0044
similarity_knn,0.7941,0.0055,0.4916,0.0085,0.7757,0.0213,0.6017,0.0086,0.6486,0.0098,0.8748,0.0036
unweighted_homophily,0.8001,0.0056,0.5012,0.0093,0.7665,0.0209,0.6059,0.009,0.6473,0.012,0.8738,0.0049
