,accuracy,accuracy,precision,precision,recall,recall,f1,f1,pr_auc,pr_auc,roc_auc,roc_auc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
variant,,,,,,,,,,,,
data_driven_homophily,0.837,0.007,0.5699,0.0123,0.7512,0.0299,0.648,0.0182,0.7295,0.015,0.9022,0.0083
data_driven_homophily+node2vec64,0.8402,0.006,0.578,0.0116,0.7437,0.0206,0.6505,0.0142,0.7267,0.0131,0.9018,0.0067
no_graph,0.8254,0.0065,0.5429,0.011,0.8019,0.0177,0.6474,0.0132,0.736,0.0119,0.9052,0.0073
similarity_knn,0.8298,0.0101,0.5527,0.0191,0.7865,0.0152,0.649,0.0147,0.7315,0.0122,0.9042,0.0073
unweighted_homophily,0.8373,0.0074,0.5702,0.0129,0.7553,0.0312,0.6497,0.0191,0.7321,0.0156,0.9029,0.008
