accuracy,precision,recall,f1,roc_auc,pr_auc,platform,variant,seed
0.819911748483177,0.5336448598130841,0.7875862068965517,0.6362116991643454,0.897343841006074,0.7296806909927348,Youtube,no_graph,42
0.8334252619966905,0.5652642934196332,0.7227586206896551,0.6343825665859564,0.893913870365748,0.7169732848557523,Youtube,unweighted_homophily,42
0.8337010479867623,0.5621181262729125,0.7613793103448275,0.6467486818980668,0.8961827669412451,0.7274529327636017,Youtube,similarity_knn,42
0.8337010479867623,0.5664488017429193,0.7172413793103448,0.6329884357881923,0.8914067681774418,0.715019077157541,Youtube,data_driven_homophily,42
0.8345284059569774,0.5683060109289617,0.7172413793103448,0.6341463414634146,0.8938900973504975,0.7180666656140491,Youtube,data_driven_homophily+node2vec64,42
0.8234969663541092,0.538955087076077,0.8110344827586207,0.6475770925110133,0.9086674036301394,0.7364842719358549,Youtube,no_graph,123
0.8416988416988417,0.5775950668036999,0.7751724137931034,0.6619552414605419,0.906378537721832,0.7402190561350345,Youtube,unweighted_homophily,123
0.8353557639271925,0.5625,0.7944827586206896,0.6586620926243568,0.9094457321494371,0.736011893472251,Youtube,similarity_knn,123
0.84142305570877,0.5787815126050421,0.76,0.6571258199165176,0.9060088673346884,0.7341548460007377,Youtube,data_driven_homophily,123
0.8452840595697738,0.5876068376068376,0.7586206896551724,0.6622516556291391,0.9073446730616077,0.7334824295858734,Youtube,data_driven_homophily+node2vec64,123
0.8359073359073359,0.5607476635514018,0.8275862068965517,0.6685236768802229,0.9154360565322304,0.7543325524050288,Youtube,no_graph,2024
0.8480419194704909,0.5891393442622951,0.7931034482758621,0.6760728982951205,0.9130979804823546,0.750877405191644,Youtube,unweighted_homophily,2024
0.8411472697186982,0.5735439289239882,0.8013793103448276,0.6685845799769851,0.9134001355061869,0.7484644649545896,Youtube,similarity_knn,2024
0.8466629895201324,0.5857868020304569,0.7958620689655173,0.6748538011695906,0.9124739388320318,0.7498891570514432,Youtube,data_driven_homophily,2024
0.8477661334804192,0.593311758360302,0.7586206896551724,0.6658595641646489,0.9086650263286145,0.738989521451537,Youtube,data_driven_homophily+node2vec64,2024
0.8268063982349697,0.5457115928369463,0.7986206896551724,0.6483762597984323,0.9049920954724293,0.7370273318989801,Youtube,no_graph,7
0.8328736900165472,0.5604060913705584,0.7613793103448275,0.6456140350877193,0.9053225403844096,0.7374626473439542,Youtube,unweighted_homophily,7
0.821842250413679,0.5371589840075258,0.7875862068965517,0.6387024608501118,0.9037544722984939,0.730361406017962,Youtube,similarity_knn,7
0.833976833976834,0.5637305699481865,0.7503448275862069,0.6437869822485207,0.9047605463038905,0.7340843774623588,Youtube,data_driven_homophily,7
0.8381136238279095,0.5717255717255717,0.7586206896551724,0.6520450503852994,0.9036527237932224,0.7349028916510192,Youtube,data_driven_homophily+node2vec64,7
0.8207391064533922,0.535277516462841,0.7848275862068965,0.6364653243847874,0.8993999690950801,0.7223950230041545,Youtube,no_graph,99
0.8303916161059018,0.5585106382978723,0.7241379310344828,0.6306306306306306,0.8958071533002889,0.7149678919156405,Youtube,unweighted_homophily,99
0.8168781025923884,0.5282146160962072,0.7875862068965517,0.6323366555924695,0.8980979210498163,0.7150866363050994,Youtube,similarity_knn,99
0.8290126861555432,0.554858934169279,0.7324137931034482,0.6313912009512486,0.8962721534785864,0.7143769030681361,Youtube,data_driven_homophily,99
0.8353557639271925,0.5692640692640693,0.7255172413793104,0.6379624014554275,0.8956074599721855,0.7081899619677832,Youtube,data_driven_homophily+node2vec64,99
