accuracy,precision,recall,f1,roc_auc,pr_auc,platform,seed,variant
0.7945024010597781,0.4917218543046358,0.7357555739058629,0.5894806483625538,0.8645422347071208,0.62134894451512,Instagram,42,data_driven_homophily+node2vec64_minus_centrality
0.7994701109455208,0.5,0.7357555739058629,0.5953892415636485,0.8679680941822304,0.6314394201735963,Instagram,42,data_driven_homophily+node2vec64_minus_node2vec
0.7971518463321742,0.4963273871983211,0.7811725846407928,0.6069939043952518,0.8747118036337713,0.6384951197973953,Instagram,123,data_driven_homophily+node2vec64_minus_centrality
0.8041066401722139,0.5077177508269018,0.7605284888521883,0.6089256198347107,0.8721139314636543,0.6411556052678059,Instagram,123,data_driven_homophily+node2vec64_minus_node2vec
0.7961583043550257,0.4947257383966245,0.7745664739884393,0.6037978757644029,0.8742646289159643,0.6491149548249693,Instagram,2024,data_driven_homophily+node2vec64_minus_centrality
0.8029475078655407,0.5057283142389526,0.7654830718414534,0.6090670170827858,0.8717037006123788,0.6422048827802723,Instagram,2024,data_driven_homophily+node2vec64_minus_node2vec
0.7971518463321742,0.4962686567164179,0.7687861271676301,0.6031746031746031,0.8723279835421915,0.6486041875882744,Instagram,7,data_driven_homophily+node2vec64_minus_centrality
0.805431362808412,0.5098039215686274,0.772914946325351,0.6143747948802101,0.8751410195275701,0.6491567958487221,Instagram,7,data_driven_homophily+node2vec64_minus_node2vec
0.8026163272064911,0.5050451407328731,0.7853014037985137,0.6147382029734971,0.8810178308887667,0.661939084243378,Instagram,99,data_driven_homophily+node2vec64_minus_centrality
0.8070872661036596,0.512486427795874,0.7795210569777044,0.61840812315755,0.8807626445514297,0.6637031372045418,Instagram,99,data_driven_homophily+node2vec64_minus_node2vec
