platform,variant,n_seeds,delta_f1_mean,delta_f1_std,delta_f1_n_positive,delta_pr_auc_mean,delta_pr_auc_std,delta_pr_auc_n_positive,delta_precision_mean,delta_precision_std,delta_precision_n_positive,delta_recall_mean,delta_recall_std,delta_recall_n_positive,delta_roc_auc_mean,delta_roc_auc_std,delta_roc_auc_n_positive,classification
Instagram,unweighted_homophily,5,0.0021548117265900004,0.005497336786467374,3,-0.003567898966099281,0.002867580051859326,0,0.009572031588042717,0.00883159062954503,4,-0.01585466556564823,0.01131326586180225,1,-0.0016242302505957706,0.0010767039200433421,1,positive_utility
Instagram,similarity_knn,5,-0.00208938439211932,0.002969783368612392,1,-0.002205303173579076,0.003951038132038496,2,6.291552555082181e-06,0.007337898659781193,3,-0.006606110652353436,0.010379690412862559,1,-0.0007066369656223648,0.0011260847872615629,1,negative_effect
Instagram,data_driven_homophily,5,0.005456316364551061,0.0018167512030146625,5,-0.0053153215686349235,0.005651661265027676,0,0.015543522922364005,0.0013546532986905822,5,-0.01948802642444263,0.0034839014219205816,0,-0.0019217994125925175,0.001978403868943845,0,positive_utility
Instagram,data_driven_homophily+node2vec64,5,0.00026006409180412415,0.004458250425885552,3,-0.009673796883353524,0.002552745436357922,0,0.01734856315614779,0.005555480358872386,5,-0.039471511147811736,0.005458792363679044,0,-0.0035414800944394862,0.0019887461458492454,0,precision_recall_trade_off
