accuracy,precision,recall,f1,roc_auc,platform,variant,seed
0.8019343986543314,0.5034674063800277,0.7626050420168067,0.606516290726817,0.8704537019855261,Tiktok,no_graph,42
0.7922624053826746,0.48787061994609165,0.7605042016806722,0.5944170771756979,0.8713991905910629,Tiktok,unweighted_homophily,42
0.8015138772077376,0.5027932960893855,0.7563025210084033,0.6040268456375839,0.8705796198605626,Tiktok,similarity_knn,42
0.8027754415475189,0.5049365303244006,0.7521008403361344,0.6042194092827005,0.8724231017328068,Tiktok,data_driven_homophily,42
0.7931034482758621,0.4887005649717514,0.726890756302521,0.5844594594594594,0.8677906493827816,Tiktok,data_driven_homophily+node2vec64,42
0.8149705634987384,0.5254237288135594,0.7815126050420168,0.6283783783783784,0.8916995820410184,Tiktok,no_graph,123
0.8216989066442388,0.5407523510971787,0.7247899159663865,0.6193895870736086,0.885299861269429,Tiktok,unweighted_homophily,123
0.8111858704793945,0.5188811188811189,0.7794117647058824,0.6230058774139379,0.8902349583366469,Tiktok,similarity_knn,123
0.8233809924306139,0.5454545454545454,0.7058823529411765,0.6153846153846154,0.8813467027189426,Tiktok,data_driven_homophily,123
0.8191757779646762,0.5359375,0.7205882352941176,0.6146953405017921,0.884384195318506,Tiktok,data_driven_homophily+node2vec64,123
0.8065601345668629,0.510899182561308,0.7878151260504201,0.6198347107438017,0.8829792169233625,Tiktok,no_graph,2024
0.8069806560134567,0.5115332428765265,0.792016806722689,0.6215993404781534,0.8832078572754023,Tiktok,unweighted_homophily,2024
0.8204373423044575,0.5347517730496454,0.792016806722689,0.6384419983065199,0.8852672772579064,Tiktok,similarity_knn,2024
0.8137089991589571,0.5230125523012552,0.7878151260504201,0.6286672254819782,0.880734786027976,Tiktok,data_driven_homophily,2024
0.8078216989066442,0.5135135135135135,0.7584033613445378,0.6123833757421544,0.878503609645751,Tiktok,data_driven_homophily+node2vec64,2024
0.8103448275862069,0.5184094256259205,0.7394957983193278,0.6095238095238096,0.8799096925836581,Tiktok,no_graph,7
0.8116063919259883,0.5209580838323353,0.7310924369747899,0.6083916083916084,0.8808165221924732,Tiktok,unweighted_homophily,7
0.8225399495374264,0.5431309904153354,0.7142857142857143,0.617059891107078,0.8810595216004383,Tiktok,similarity_knn,7
0.8099243061396131,0.5185185185185185,0.7058823529411765,0.597864768683274,0.8791276763071159,Tiktok,data_driven_homophily,7
0.8170731707317073,0.5314900153609831,0.726890756302521,0.614019520851819,0.8776884570863046,Tiktok,data_driven_homophily+node2vec64,7
0.7947855340622372,0.4915492957746479,0.7331932773109243,0.5885328836424958,0.870705537735599,Tiktok,no_graph,99
0.796888141295206,0.494949494949495,0.7205882352941176,0.5868263473053892,0.8726892965388049,Tiktok,unweighted_homophily,99
0.8048780487804879,0.5088235294117647,0.726890756302521,0.5986159169550173,0.8723027065715877,Tiktok,similarity_knn,99
0.8048780487804879,0.5089820359281437,0.7142857142857143,0.5944055944055944,0.8695888450017231,Tiktok,data_driven_homophily,99
0.8015138772077376,0.5030581039755352,0.6911764705882353,0.5823008849557522,0.8669213742279247,Tiktok,data_driven_homophily+node2vec64,99
