accuracy,precision,recall,f1,roc_auc,platform,variant,seed
0.799468791500664,0.5,0.7251655629139073,0.5918918918918918,0.8572941189412774,Facebook,no_graph,42
0.8007968127490039,0.5022522522522522,0.7384105960264901,0.5978552278820375,0.861840223537436,Facebook,unweighted_homophily,42
0.800132802124834,0.5012531328320802,0.6622516556291391,0.5706134094151213,0.8537325911421091,Facebook,similarity_knn,42
0.8047808764940239,0.5099009900990099,0.6821192052980133,0.5835694050991501,0.8559465138280785,Facebook,data_driven_homophily,42
0.8087649402390438,0.5186170212765957,0.6456953642384106,0.5752212389380531,0.848760203295857,Facebook,data_driven_homophily+node2vec64,42
0.8120849933598937,0.5211581291759465,0.7748344370860927,0.6231691078561917,0.8760643330179754,Facebook,no_graph,123
0.8074369189907038,0.5126582278481012,0.804635761589404,0.6262886597938144,0.8774641922069921,Facebook,unweighted_homophily,123
0.8187250996015937,0.5349397590361445,0.7350993377483444,0.6192468619246861,0.8770764119601329,Facebook,similarity_knn,123
0.8087649402390438,0.515695067264574,0.7615894039735099,0.6149732620320856,0.8737431519658534,Facebook,data_driven_homophily,123
0.8220451527224436,0.5402843601895735,0.7549668874172185,0.6298342541436464,0.8821175551693031,Facebook,data_driven_homophily+node2vec64,123
0.8007968127490039,0.5022222222222222,0.7483443708609272,0.601063829787234,0.8681079624210689,Facebook,no_graph,2024
0.8034528552456839,0.5067264573991032,0.7483443708609272,0.6042780748663101,0.8696123297617214,Facebook,unweighted_homophily,2024
0.8074369189907038,0.513215859030837,0.7715231788079471,0.6164021164021164,0.8672333942047479,Facebook,similarity_knn,2024
0.8021248339973439,0.5044444444444445,0.7516556291390728,0.6037234042553191,0.8689412774196388,Facebook,data_driven_homophily,2024
0.8207171314741036,0.5404040404040404,0.7086092715231788,0.6131805157593123,0.8661333083980551,Facebook,data_driven_homophily+node2vec64,2024
0.8081009296148738,0.5148741418764302,0.7450331125827815,0.6089309878213802,0.8654347539108052,Facebook,no_graph,7
0.8140770252324038,0.5261904761904762,0.7317880794701986,0.6121883656509696,0.8638451299201338,Facebook,unweighted_homophily,7
0.797476759628154,0.4966139954853273,0.7284768211920529,0.5906040268456376,0.8629100569844447,Facebook,similarity_knn,7
0.8114209827357237,0.5220588235294118,0.7052980132450332,0.6,0.8610234098259665,Facebook,data_driven_homophily,7
0.8200531208499336,0.5386533665835411,0.7152317880794702,0.6145092460881935,0.8671811401289299,Facebook,data_driven_homophily+node2vec64,7
0.795484727755644,0.49327354260089684,0.7284768211920529,0.5882352941176471,0.8463235132340322,Facebook,no_graph,99
0.7948207171314741,0.4918793503480278,0.7019867549668874,0.5784447476125512,0.8481634067457262,Facebook,unweighted_homophily,99
0.7915006640106241,0.48695652173913045,0.7417218543046358,0.5879265091863517,0.850919121691492,Facebook,similarity_knn,99
0.7934926958831341,0.48936170212765956,0.6854304635761589,0.5710344827586207,0.8461089965017271,Facebook,data_driven_homophily,99
0.8187250996015937,0.5368956743002544,0.6986754966887417,0.6071942446043166,0.8580394270753119,Facebook,data_driven_homophily+node2vec64,99
