accuracy,precision,recall,f1,roc_auc,pr_auc,platform,seed,variant
0.8248758963044678,0.5453629032258065,0.7462068965517241,0.6301688992428655,0.8929672288984772,0.719930008887355,Youtube,42,data_driven_homophily+node2vec64_minus_centrality
0.8337010479867623,0.5664488017429193,0.7172413793103448,0.6329884357881923,0.8914067681774418,0.715019077157541,Youtube,42,data_driven_homophily+node2vec64_minus_node2vec
0.8353557639271925,0.5626223091976517,0.7931034482758621,0.658271322266743,0.9073456239822179,0.7315390655229089,Youtube,123,data_driven_homophily+node2vec64_minus_centrality
0.84142305570877,0.5787815126050421,0.76,0.6571258199165176,0.9060088673346884,0.7341548460007377,Youtube,123,data_driven_homophily+node2vec64_minus_node2vec
0.8419746276889134,0.5769230769230769,0.7862068965517242,0.6654991243432574,0.9093116523434249,0.7411793590723433,Youtube,2024,data_driven_homophily+node2vec64_minus_centrality
0.8466629895201324,0.5857868020304569,0.7958620689655173,0.6748538011695906,0.9124739388320318,0.7498891570514432,Youtube,2024,data_driven_homophily+node2vec64_minus_node2vec
0.8306674020959736,0.5555555555555556,0.7655172413793103,0.6438515081206496,0.9027973707045133,0.7343456484069814,Youtube,7,data_driven_homophily+node2vec64_minus_centrality
0.833976833976834,0.5637305699481865,0.7503448275862069,0.6437869822485207,0.9047605463038905,0.7340843774623588,Youtube,7,data_driven_homophily+node2vec64_minus_node2vec
0.8301158301158301,0.5538005923000987,0.7737931034482759,0.6455696202531646,0.8978202522316918,0.7151568720815492,Youtube,99,data_driven_homophily+node2vec64_minus_centrality
0.8290126861555432,0.554858934169279,0.7324137931034482,0.6313912009512486,0.8962721534785864,0.7143769030681361,Youtube,99,data_driven_homophily+node2vec64_minus_node2vec
