accuracy,precision,recall,f1,roc_auc,pr_auc,platform,seed,variant
0.8010933557611438,0.5021897810218978,0.7226890756302521,0.5925925925925926,0.8694275817582554,0.6733785021646205,Tiktok,42,data_driven_homophily+node2vec64_minus_centrality
0.8019343986543314,0.5035663338088445,0.7415966386554622,0.5998300764655905,0.8704227747881486,0.6695612429996913,Tiktok,42,data_driven_homophily+node2vec64_minus_node2vec
0.8242220353238016,0.5447530864197531,0.7415966386554622,0.6281138790035588,0.8884588535729749,0.6939598102996412,Tiktok,123,data_driven_homophily+node2vec64_minus_centrality
0.8233809924306139,0.5454545454545454,0.7058823529411765,0.6153846153846154,0.8812539211268103,0.6848343248523426,Tiktok,123,data_driven_homophily+node2vec64_minus_node2vec
0.8153910849453322,0.527007299270073,0.7584033613445378,0.6218776916451335,0.8807546677977184,0.6833536966452646,Tiktok,2024,data_driven_homophily+node2vec64_minus_centrality
0.8078216989066442,0.5131396957123098,0.7794117647058824,0.6188490408673895,0.881738815399977,0.6693330581630434,Tiktok,2024,data_driven_homophily+node2vec64_minus_node2vec
0.8179142136248949,0.5344,0.7016806722689075,0.6067211625794732,0.8772035628131377,0.6777414176057156,Tiktok,7,data_driven_homophily+node2vec64_minus_centrality
0.8128679562657696,0.5239567233384853,0.7121848739495799,0.603739982190561,0.8791177354222447,0.6801149846435547,Tiktok,7,data_driven_homophily+node2vec64_minus_node2vec
0.8010933557611438,0.5022288261515602,0.7100840336134454,0.5883376849434291,0.8703620249361574,0.6673386002931753,Tiktok,99,data_driven_homophily+node2vec64_minus_centrality
0.8048780487804879,0.508955223880597,0.7163865546218487,0.5951134380453752,0.8695358269490762,0.6606119012160949,Tiktok,99,data_driven_homophily+node2vec64_minus_node2vec
